Person,Arrival-BusStop,Start-BusStop,Stop-BusStop,TimeonBus,TimeoffBus,WaitTime,NumberOfTimesLeftbyBus
998,1999,4,4,2020,2040,21,0
999,2006,4,4,2020,2040,14,0
353,709,0,3,750,2070,41,0
456,914,1,3,950,2070,36,0
461,924,1,3,950,2070,26,0
299,602,0,4,650,2070,48,0
412,828,1,4,850,2070,22,0
463,928,2,4,950,2070,22,0
303,608,0,0,650,2090,42,0
411,824,1,1,850,2090,26,0
460,924,2,1,950,2090,26,0
343,688,0,4,700,2120,12,0
432,867,1,4,900,2120,33,0
440,883,1,4,900,2120,17,0
441,886,1,4,900,2120,14,0
333,669,0,0,700,2140,31,0
342,687,0,0,700,2140,13,0
446,894,1,1,900,2140,6,0
473,953,2,1,1000,2140,47,0
475,956,2,1,1000,2140,44,0
368,738,0,4,750,2170,12,0
458,920,1,4,950,2170,30,0
355,713,0,0,750,2190,37,0
474,950,1,1,950,2190,0,0
389,782,0,0,800,2240,18,0
402,806,0,4,850,2270,44,0
476,956,0,3,1000,2320,44,0
477,958,0,3,1000,2320,42,0
489,986,0,3,1000,2320,14,0
492,986,0,3,1000,2320,14,0
490,987,0,3,1000,2320,13,0
495,992,0,3,1000,2320,8,0
496,994,0,3,1000,2320,6,0
445,892,0,4,900,2320,8,0
429,860,0,0,900,2340,40,0
505,1012,0,3,1050,2370,38,0
508,1018,0,3,1050,2370,32,0
516,1035,0,3,1050,2370,15,0
521,1047,0,3,1050,2370,3,0
523,1049,0,3,1050,2370,1,0
462,927,0,0,950,2390,23,0
483,968,0,4,1000,2420,32,0
484,972,0,4,1000,2420,28,0
488,979,0,4,1000,2420,21,0
486,975,0,0,1000,2440,25,0
491,986,0,0,1000,2440,14,0
493,988,0,0,1000,2440,12,0
560,1122,0,3,1150,2470,28,0
563,1128,0,3,1150,2470,22,0
567,1136,0,3,1150,2470,14,0
503,1011,0,4,1050,2470,39,0
506,1014,0,4,1050,2470,36,0
519,1040,0,4,1050,2470,10,0
511,1025,0,0,1050,2490,25,0
577,1157,0,3,1200,2520,43,0
529,1060,0,0,1100,2540,40,0
537,1077,0,0,1100,2540,23,0
546,1094,0,0,1100,2540,6,0
599,1200,0,3,1250,2570,50,0
604,1219,0,3,1250,2570,31,0
621,1244,0,3,1250,2570,6,0
548,1103,0,4,1150,2570,47,0
555,1112,0,4,1150,2570,38,0
573,1150,0,4,1150,2570,0,0
551,1105,0,0,1150,2590,45,0
565,1136,0,0,1150,2590,14,0
569,1140,0,0,1150,2590,10,0
570,1145,0,0,1150,2590,5,0
578,1160,0,4,1200,2620,40,0
583,1168,0,4,1200,2620,32,0
590,1183,0,4,1200,2620,17,0
596,1197,0,4,1200,2620,3,0
626,1257,0,3,1300,2620,43,0
633,1268,0,3,1300,2620,32,0
647,1296,0,3,1300,2620,4,0
648,1298,0,3,1300,2620,2,0
589,1180,0,0,1200,2640,20,0
591,1186,0,0,1200,2640,14,0
597,1196,0,0,1200,2640,4,0
666,1335,0,3,1350,2670,15,0
667,1337,0,3,1350,2670,13,0
601,1206,0,4,1250,2670,44,0
605,1216,0,4,1250,2670,34,0
608,1219,0,4,1250,2670,31,0
612,1226,0,4,1250,2670,24,0
606,1215,0,0,1250,2690,35,0
609,1220,0,0,1250,2690,30,0
613,1231,0,0,1250,2690,19,0
622,1246,0,0,1250,2690,4,0
623,1249,0,0,1250,2690,1,0
629,1262,0,4,1300,2720,38,0
632,1267,0,4,1300,2720,33,0
687,1376,0,3,1400,2720,24,0
696,1395,0,3,1400,2720,5,0
635,1274,0,0,1300,2740,26,0
639,1281,0,0,1300,2740,19,0
712,1428,0,3,1450,2770,22,0
665,1333,0,4,1350,2770,17,0
668,1338,0,4,1350,2770,12,0
661,1326,0,0,1350,2790,24,0
662,1327,0,0,1350,2790,23,0
677,1357,0,4,1400,2820,43,0
683,1370,0,4,1400,2820,30,0
688,1381,0,4,1400,2820,19,0
733,1470,0,3,1500,2820,30,0
735,1472,0,3,1500,2820,28,0
740,1484,0,3,1500,2820,16,0
741,1485,0,3,1500,2820,15,0
743,1488,0,3,1500,2820,12,0
745,1492,0,3,1500,2820,8,0
675,1359,0,0,1400,2840,41,0
693,1393,0,0,1400,2840,7,0
695,1395,0,0,1400,2840,5,0
751,1505,0,3,1550,2870,45,0
752,1506,0,3,1550,2870,44,0
764,1531,0,3,1550,2870,19,0
771,1544,0,3,1550,2870,6,0
700,1402,0,4,1450,2870,48,0
710,1424,0,4,1450,2870,26,0
714,1430,0,4,1450,2870,20,0
717,1439,0,4,1450,2870,11,0
701,1405,0,0,1450,2890,45,0
702,1406,0,0,1450,2890,44,0
705,1412,0,0,1450,2890,38,0
708,1419,0,0,1450,2890,31,0
774,1555,0,3,1600,2920,45,0
790,1583,0,3,1600,2920,17,0
792,1587,0,3,1600,2920,13,0
726,1455,0,4,1500,2920,45,0
738,1485,0,4,1500,2920,15,0
727,1457,0,0,1500,2940,43,0
730,1463,0,0,1500,2940,37,0
746,1494,0,0,1500,2940,6,0
802,1607,0,3,1650,2970,43,0
812,1626,0,3,1650,2970,24,0
818,1638,0,3,1650,2970,12,0
820,1642,0,3,1650,2970,8,0
822,1650,0,3,1650,2970,0,0
757,1517,0,4,1550,2970,33,0
767,1536,0,4,1550,2970,14,0
772,1546,0,4,1550,2970,4,0
768,1539,0,0,1550,2990,11,0
770,1542,0,0,1550,2990,8,0
783,1568,0,4,1600,3020,32,0
789,1586,0,4,1600,3020,14,0
780,1562,0,0,1600,3040,38,0
787,1578,0,0,1600,3040,22,0
807,1616,0,4,1650,3070,34,0
808,1620,0,4,1650,3070,30,0
810,1635,0,4,1650,3070,15,0
803,1610,0,0,1650,3090,40,0
805,1616,0,0,1650,3090,34,0
811,1629,0,0,1650,3090,21,0
817,1636,0,0,1650,3090,14,0
821,1647,0,0,1650,3090,3,0
828,1658,0,0,1700,3140,42,0
831,1665,0,0,1700,3140,35,0
836,1677,0,0,1700,3140,23,0
840,1682,0,0,1700,3140,18,0
